"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"577","RT @carlitrosgt: UVG lanzando #Quetzal1 / USAC pidiendo 1 Quetzal https://t.co/rp3v4CBVRf",FALSE,0,NA,2020-03-08 05:46:49,FALSE,NA,"1236528779004125186",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DilonRPM",50,TRUE,FALSE,NA,NA
"578","RT @aedilzare: Sin menospreciar el trabajo de estudiantes UVG, lanzó la pregunta:

 ¿Qué parte principal del satélite #Quetzal1 ha sido rea…",FALSE,0,NA,2020-03-08 05:46:06,FALSE,NA,"1236528601647980544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sirleon007",52,TRUE,FALSE,NA,NA
"579","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:46:04,FALSE,NA,"1236528593569800194",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OrienteSoy",164,TRUE,FALSE,NA,NA
"580","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 05:43:37,FALSE,NA,"1236527975476211713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManuelC27256819",59,TRUE,FALSE,NA,NA
"581","RT @KarlozDuarte: La misión de @quetzal1_uvg  consiste en capturar imágenes para detectar clorofila en cuerpos de agua y así calcular la co…",FALSE,0,NA,2020-03-08 05:38:52,FALSE,NA,"1236526780661600257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NorbertoUrbina",3,TRUE,FALSE,NA,NA
"582","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:33:32,FALSE,NA,"1236525439243431936",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","josrocker29",164,TRUE,FALSE,NA,NA
"583","RT @carlosanchezurd: Los paises que tienen satélites en el espacio, han superado el hambre y en buena medida la exclusión, la finca Guatema…",FALSE,0,NA,2020-03-08 05:29:21,FALSE,NA,"1236524386083057664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Estuard93931452",8,TRUE,FALSE,NA,NA
"584","La misión de @quetzal1_uvg  consiste en capturar imágenes para detectar clorofila en cuerpos de agua y así calcular… https://t.co/wP7NXm44i7",FALSE,12,NA,2020-03-08 05:28:24,TRUE,NA,"1236524145925644294",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KarlozDuarte",3,FALSE,FALSE,NA,NA
"585","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 05:24:15,FALSE,NA,"1236523103162970113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ivangcalderon",59,TRUE,FALSE,NA,NA
"586","RT @juanjose531958: El sentimiento de orgullo y felicidad que hoy corre por nuestras venas, no es frecuente. El guatemalteco es muy talento…",FALSE,0,NA,2020-03-08 05:24:15,FALSE,NA,"1236523101946593280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KrlosGuTi",49,TRUE,FALSE,NA,NA
"587","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:20:44,FALSE,NA,"1236522214318538752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cirez_edg",164,TRUE,FALSE,NA,NA
"588","RT @aleemayen_: El primer satélite de Guatemala, #Quetzal1 fue lanzado al espacio con éxito; gracias al trabajo de dos jóvenes universitari…",FALSE,0,NA,2020-03-08 05:18:32,FALSE,NA,"1236521662142709762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Duckita1",3,TRUE,FALSE,NA,NA
"589","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 05:18:29,FALSE,NA,"1236521651296231425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuisCozajay1",59,TRUE,FALSE,NA,NA
"590","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:15:39,FALSE,NA,"1236520936318349312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","susanachan",164,TRUE,FALSE,NA,NA
"591","RT @china_bernal: Pero esto no lo transmitieron en vivo por canales nacionales ni fue noticia 1 o 2 meses antes. Como no eran 2 alcaldes co…",FALSE,0,NA,2020-03-08 05:11:33,FALSE,NA,"1236519904041459713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_kwy",74,TRUE,FALSE,NA,NA
"592","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 05:09:44,FALSE,NA,"1236519447504044032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","feki369",59,TRUE,FALSE,NA,NA
"593","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:08:07,FALSE,NA,"1236519042116173824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SStevAmbos2",164,TRUE,FALSE,NA,NA
"594","RT @Frankygmez777: Quiero honrar el gran esfuerzo realizado por el equipo de científicos guatemaltecos, que con la puesta en marcha de éste…",FALSE,0,NA,2020-03-08 05:05:27,FALSE,NA,"1236518369890836480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cesarosorio",61,TRUE,FALSE,NA,NA
"595","RT @NuestroDiario: 3, 2, 1, 0... ¡Guatemala va al espacio! Este es justo el instante en que el satélite #Quetzal1 es lanzado por la @NASA e…",FALSE,0,NA,2020-03-08 05:03:31,FALSE,NA,"1236517883670171648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sxftcloud",76,TRUE,FALSE,NA,NA
"596","RT @XaviMonterroso: No he visto a nadie de la UVG tirarle mierda a la USAC por lo del #Quetzal1 solo el puro cholojo netcentero, los lamebo…",FALSE,0,NA,2020-03-08 05:00:32,FALSE,NA,"1236517131786899458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carloshdiazgt",164,TRUE,FALSE,NA,NA
"597","RT @aedilzare: Sin menospreciar el trabajo de estudiantes UVG, lanzó la pregunta:

 ¿Qué parte principal del satélite #Quetzal1 ha sido rea…",FALSE,0,NA,2020-03-08 05:00:11,FALSE,NA,"1236517045371633665",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","juansical3",52,TRUE,FALSE,NA,NA
"598","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 05:00:04,FALSE,NA,"1236517015491354624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","toledosoniale",59,TRUE,FALSE,NA,NA
"599","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 04:59:40,FALSE,NA,"1236516914307964930",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NvidiA_CR",59,TRUE,FALSE,NA,NA
"600","RT @Oacnudh_GT: Felicitaciones a jóvenes, docentes y voluntarias/os que crearon el #Quetzal1, primer satélite guatemalteco. 

Este logro mu…",FALSE,0,NA,2020-03-08 04:59:24,FALSE,NA,"1236516846276239360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rjstrikers",10,TRUE,FALSE,NA,NA
"601","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 04:58:38,FALSE,NA,"1236516654911193088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MFwonderland10",59,TRUE,FALSE,NA,NA
"602","RT @Andresinho212: Que bárbaros universidad UVG !! Que envidia no poder ser parte de tremenda universidad, pertenezco a la Galileo y solo q…",FALSE,0,NA,2020-03-08 04:57:57,FALSE,NA,"1236516481069916160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pabasaurio",1,TRUE,FALSE,NA,NA
"603","Por qué no mandaron en el #Quetzal1 a Vinicio Montoya?",FALSE,1,NA,2020-03-08 04:56:48,FALSE,NA,"1236516194804551680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Holasoy_Wicho",0,FALSE,FALSE,NA,NA
"604","RT @dguillenflores: ¡Histórico! Así fue el lanzamiento del #Quetzal1, el primer satélite guatemalteco, al módulo Kibo en la Estación Espaci…",FALSE,0,NA,2020-03-08 04:56:42,FALSE,NA,"1236516169361866754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ltarott",574,TRUE,FALSE,NA,NA
"605","RT @FERgfc: Los chapines llegamos antes al espacio que a un mundial de fútbol. 
¿Ven cuál debe ser la prioridad de inversión en Guatemala?…",FALSE,0,NA,2020-03-08 04:55:24,FALSE,NA,"1236515839546986497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pabasaurio",24,TRUE,FALSE,NA,NA
"606","RT @rulobono: El vuelo de un Quetzal ❤🇬🇹 #Quetzal1 https://t.co/RxtSFAexUF",FALSE,0,NA,2020-03-08 04:54:36,FALSE,NA,"1236515641475112960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pabasaurio",43,TRUE,FALSE,NA,NA
"607","RT @El_Fherbury: Dicen que el satélite #Quetzal1 se le atravesó a otro sin pedir vía.

¿Saber por qué será? https://t.co/Cag66Uw9Rv",FALSE,0,NA,2020-03-08 04:53:57,FALSE,NA,"1236515476337025024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deleonmanuel82",20,TRUE,FALSE,NA,NA
"608","RT @McGuate: En McDonald’s Guatemala estamos orgullosos de los chapines que hicieron posible que el #Quetzal1 estuviera en órbita.

Si tú c…",FALSE,0,NA,2020-03-08 04:52:43,FALSE,NA,"1236515167124574208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marv1nGio",59,TRUE,FALSE,NA,NA
